year,team,seed,opponent,win,win_margin,previous_tournament,tournament_two_years_back,win percent,wins_in_last_10,percent_of_wins_away,coach_tenure,total_seasons_coaching,coach_final_fours,coach_championships,coach_NBA_draft_picks,automatic_bid,RPI,Sagarin,SOS,Total_Games,ppg,ppg_allowed,Efficiency,Efficiency_Allowed,Rbs_Per_Game,Rbs_Per_Game_Allowed,Steals_Per_Game,Steals_Per_Game_Allowed,Blocks_Per_Game,FG_Percent,3_pt_percent,TS_percent,free_throw_rate,assists_per_game,freshmen_play_time,sophomore_play_time,junior_play_time,senior_play_time,year,opponent,opp_seed,opp_previous_tournament,opp_tournament two years back,opp_win_percent,opp_wins_in_last_10,opp_percent_of_wins_away,opp_coach_tenure,opp_total_seasons_coaching,opp_coach_final_fours,opp_coach_championships,opp_coach_NBA_draft_picks,opp_automatic_bid,opp_RPI,opp_Sagarin,opp_SOS,opp_Total_Games,opp_Points_Scored_Per_Game,opp_Points_Allowed_Per_Game,opp_Efficiency,opp_Efficiency_Allowed,opp_Rbs_Per_Game,opp_Rbs_Per_Game_Allowed,opp_Steals_Per_Game,opp_Steals_Per_Game_Allowed,opp_Blocks_Per_Game,opp_FG_percent,opp_3_pt_percent,opp_TS_percent,opp_free_throw_rate,opp_assists_per_game,opp_freshmen_play_time,opp_sophomore_play_time,opp_junior_play_time,opp_senior_play_time,Round
1986,Bradley,7,texas el paso,1,18,0,0,0.9142857143,9,0.46875,8,8,0,0,6,0,,44,92,35,71.5,64.1,,,,,,,,,,,,,,,,,1986,UTEP,10,0,1,0.8181818182,8,0.2592592593,25,25,0,0,15,1,,56,129,33,67.5,60.2,,,,,,,,,,,,,,,,,1
1986,Iowa St,7,miami oh,1,2,0,0,0.6666666667,7,0.2727272727,6,21,0,0,18,0,,26,6,33,74.8,71,,,,,,,,,,,,,,,,,1986,Miami (OH),10,0,1,0.7741935484,8,0.4583333333,2,2,0,0,0,0,,57,133,31,76.2,68.7,,,,,,,,,,,,,,,,,1
1986,Navy,7,tulsa,1,19,0,0,0.8571428571,10,0.3333333333,6,13,0,0,0,1,,28,119,35,76.1,63.9,,,,,,,,,,,,,,,,,1986,Tulsa,10,0,1,0.71875,7,0.2608695652,1,16,0,0,10,1,,42,76,32,65,58.5,,,,,,,,,,,,,,,,,1
1986,Virginia Tech,7,villanova,0,-9,0,0,0.7096774194,6,0.3636363636,10,19,0,0,11,0,,36,53,31,79,73.4,,,,,,,,,,,,,,,,,1986,Villanova,10,0,1,0.6216216216,6,0.3913043478,13,15,1,1,13,0,,48,46,37,69.8,66.2,,,,,,,,,,,,,,,,,1
1986,Auburn,8,arizona,1,10,0,1,0.6666666667,7,0.2272727273,8,10,0,0,8,0,,25,22,33,72.1,66.8,,,,,,,,,,,,,,,,,1986,Arizona,9,0,0,0.71875,8,0.2608695652,3,13,0,0,17,1,,45,70,32,67.8,62.2,,,,,,,,,,,,,,,,,1
1986,Jacksonville,8,temple,0,-11,0,0,0.6774193548,9,0.2857142857,5,5,0,0,1,1,,43,52,31,66.6,62,,,,,,,,,,,,,,,,,1986,Temple,9,0,1,0.8064516129,8,0.36,4,14,0,0,4,0,,47,144,31,67.6,58,,,,,,,,,,,,,,,,,1
1986,ODU,8,west va,1,8,0,0,0.7419354839,8,0.3913043478,1,26,0,0,14,0,,46,57,31,66.3,62.1,,,,,,,,,,,,,,,,,1986,West Virginia,9,0,1,0.6666666667,7,0.3181818182,8,14,0,0,14,0,,60,111,33,69.8,63.9,,,,,,,,,,,,,,,,,1
1986,W Kentucky,8,nebraska,1,8,0,0,0.7419354839,6,0.3043478261,6,6,0,0,3,0,,37,59,31,67.8,62.1,,,,,,,,,,,,,,,,,1986,Nebraska,9,0,0,0.6333333333,6,0.3684210526,6,10,0,0,6,0,,34,28,30,69.8,67.2,,,,,,,,,,,,,,,,,1
1987,Georgetown,1,bucknell,1,22,1,1,0.8529411765,10,0.3103448276,15,15,3,1,19,1,,10,23,34,75.2,66.1,,,,,,,,,,,,,,,,,1987,Bucknell,16,0,0,0.7096774194,9,0.3181818182,12,12,0,0,2,1,,211,249,31,77.3,76.5,,,,,,,,,,,,,,,,,1
1987,Indiana,1,fairfield,1,34,1,0,0.8823529412,8,0.2333333333,16,22,0,1,27,1,,3,6,34,82.5,70.9,,,,,,,,,,,,,,,,,1987,Fairfield,16,1,0,0.4838709677,5,0.4,2,2,0,0,0,1,,181,199,31,65.9,66.7,,,,,,,,,,,,,,,,,1
1987,UNC,1,penn,1,31,1,1,0.8888888889,9,0.375,26,26,2,1,58,0,,1,12,36,90.5,74.7,,,,,,,,,,,,,,,,,1987,Penn,16,0,1,0.4814814815,7,0.4615384615,2,4,0,0,0,1,,130,140,27,78.9,79.3,,,,,,,,,,,,,,,,,1
1987,UNLV,1,idaho st,1,25,1,1,0.9487179487,10,0.3783783784,14,19,0,0,40,1,,2,44,39,92.5,75.5,,,,,,,,,,,,,,,,,1987,Idaho St,16,0,0,0.4838709677,6,0.4,2,8,0,0,2,1,,145,132,31,66.9,68.4,,,,,,,,,,,,,,,,,1
1987,Alabama,2,unc a and t,1,17,1,1,0.8484848485,9,0.3571428571,7,7,0,0,9,1,,6,8,33,80,69.6,,,,,,,,,,,,,,,,,1987,North Carolina A&T,15,1,1,0.8,9,0.375,8,16,0,0,2,1,,135,286,30,74.8,63.3,,,,,,,,,,,,,,,,,1
1987,Iowa,2,santa clara,1,23,1,1,0.8571428571,8,0.4666666667,1,16,0,0,5,0,,4,24,35,87.2,74.7,,,,,,,,,,,,,,,,,1987,Santa Clara,15,0,0,0.5625,6,0.3333333333,17,17,0,0,14,1,,104,116,32,67.7,66.7,,,,,,,,,,,,,,,,,1
1987,Syracuse,2,georgia southern,1,6,1,1,0.8157894737,7,0.2580645161,11,11,0,0,17,0,,9,18,38,82.1,72.4,,,,,,,,,,,,,,,,,1987,Georgia Southern,15,0,0,0.6451612903,7,0.35,6,14,0,0,0,1,,188,234,31,69.7,68,,,,,,,,,,,,,,,,,1
1987,Temple,2,southern,1,19,1,1,0.8888888889,9,0.4375,5,15,0,0,4,1,,25,97,36,75,64.7,,,,,,,,,,,,,,,,,1987,Southern,15,0,1,0.6129032258,10,0.3684210526,1,16,0,0,3,1,,165,268,31,86.1,80.1,,,,,,,,,,,,,,,,,1
1987,DePaul,3,louisiana tech,1,14,1,1,0.9032258065,9,0.3928571429,3,3,0,0,5,1,,15,101,31,76.1,62.5,,,,,,,,,,,,,,,,,1987,Louisiana Tech,14,0,1,0.7333333333,8,0.3636363636,2,2,0,0,0,1,,62,91,30,70.1,66.1,,,,,,,,,,,,,,,,,1
1987,Illinois,3,austin peay,0,-1,1,1,0.7419354839,8,0.3043478261,12,25,0,0,24,0,,8,13,31,79.8,70.4,,,,,,,,,,,,,,,,,1987,Austin Peay,14,0,0,0.625,9,0.4,2,16,0,0,4,1,,107,131,32,78.3,76.2,,,,,,,,,,,,,,,,,1
1987,Pittsburgh,3,marist,1,25,0,1,0.7575757576,7,0.36,1,14,0,0,0,0,,13,32,33,83.6,74.2,,,,,,,,,,,,,,,,,1987,Marist,14,1,0,0.6666666667,10,0.3,1,6,0,0,1,1,,177,263,30,68.1,63.5,,,,,,,,,,,,,,,,,1
1987,Purdue,3,northeastern,1,9,1,1,0.8333333333,8,0.4,7,9,0,0,6,0,,7,22,30,81.8,71.7,,,,,,,,,,,,,,,,,1987,Northeastern,14,1,1,0.7941176471,10,0.4444444444,1,4,0,0,0,1,,93,184,34,82.5,76.3,,,,,,,,,,,,,,,,,1
1987,Clemson,4,missouri st,0,-5,0,0,0.8064516129,7,0.32,3,12,0,0,10,0,,14,82,31,84.9,72,,,,,,,,,,,,,,,,,1987,SW Missouri St,13,0,0,0.8235294118,10,0.2857142857,4,4,0,0,0,1,,43,169,34,69.6,58.2,,,,,,,,,,,,,,,,,1
1987,Missouri,4,xavier,0,-1,1,0,0.7058823529,9,0.375,20,26,0,0,27,1,,35,42,34,74.1,69.2,,,,,,,,,,,,,,,,,1987,Xavier,13,1,0,0.59375,7,0.2105263158,2,2,0,0,0,1,,114,145,32,76.4,74.4,,,,,,,,,,,,,,,,,1
1987,TCU,4,marshall,1,16,0,0,0.7741935484,7,0.5,8,16,0,0,6,0,,29,50,31,70.9,63.7,,,,,,,,,,,,,,,,,1987,Marshall,13,0,1,0.8064516129,9,0.44,4,4,0,0,2,1,,106,222,31,80.8,73.2,,,,,,,,,,,,,,,,,1
1987,UCLA,4,central michigan,1,19,0,0,0.78125,9,0.28,3,5,0,0,3,1,,27,38,32,77.9,71.7,,,,,,,,,,,,,,,,,1987,C Michigan,13,0,0,0.7333333333,9,0.4090909091,2,2,0,0,0,1,,73,136,30,73.2,67.3,,,,,,,,,,,,,,,,,1
1987,Duke,5,texas a and m,1,7,1,1,0.7272727273,6,0.25,7,12,1,0,10,0,,11,35,33,76.9,67.2,,,,,,,,,,,,,,,,,1987,Texas A&M,12,0,0,0.5483870968,5,0.3529411765,24,24,0,0,17,1,,80,85,31,67,65,,,,,,,,,,,,,,,,,1
1987,Kansas,5,houston,1,11,1,1,0.6944444444,5,0.28,4,6,1,0,12,0,,24,29,36,73.3,67.7,,,,,,,,,,,,,,,,,1987,Houston,12,0,0,0.6,6,0.3333333333,1,7,0,0,9,0,,31,67,30,67.4,60.1,,,,,,,,,,,,,,,,,1
1987,Notre Dame,5,middle tenn st,1,13,1,1,0.75,9,0.2916666667,16,17,0,0,25,0,,32,45,32,65.1,59.4,,,,,,,,,,,,,,,,,1987,Middle Tennessee St,12,0,1,0.7586206897,7,0.4090909091,3,3,0,0,1,0,,96,186,29,83.3,77.2,,,,,,,,,,,,,,,,,1
1987,Virginia,5,wyoming,0,-4,1,0,0.6774193548,7,0.3333333333,13,18,2,0,20,0,,21,27,31,74.2,68.4,,,,,,,,,,,,,,,,,1987,Wyoming,12,0,0,0.7058823529,7,0.2916666667,9,11,0,0,7,1,,56,93,34,70.8,65.9,,,,,,,,,,,,,,,,,1
1987,Florida,6,nc state,1,12,0,0,0.6764705882,5,0.2608695652,7,35,0,0,23,0,,5,20,34,84.1,71.9,,,,,,,,,,,,,,,,,1987,NC State,11,1,1,0.5714285714,7,0.15,7,16,1,1,15,1,,38,21,35,78,75.1,,,,,,,,,,,,,,,,,1
1987,Oklahoma,6,tulsa,1,5,1,1,0.7058823529,4,0.2083333333,7,13,0,0,9,0,,12,26,34,89.1,80.1,,,,,,,,,,,,,,,,,1987,Tulsa,11,1,1,0.7333333333,7,0.3636363636,2,17,0,0,10,0,,46,88,30,69.8,63.5,,,,,,,,,,,,,,,,,1
1987,Providence,6,uab,1,22,0,0,0.7352941176,5,0.32,2,7,0,0,5,0,,16,54,34,86.7,76.9,,,,,,,,,,,,,,,,,1987,UAB,11,1,1,0.65625,7,0.3333333333,9,26,0,0,26,1,,86,75,32,74.8,74.4,,,,,,,,,,,,,,,,,1
1987,St John's,6,wichita st,1,2,1,1,0.7,6,0.2380952381,22,22,1,0,29,0,,26,33,30,70.5,64.6,,,,,,,,,,,,,,,,,1987,Wichita St,11,0,1,0.6666666667,8,0.2272727273,1,1,0,0,0,1,,61,86,33,68.1,64.3,,,,,,,,,,,,,,,,,1
1987,Georgia Tech,7,louisiana st,0,-6,1,1,0.5517241379,5,0.25,6,12,0,0,8,0,,36,7,29,70.7,68.5,,,,,,,,,,,,,,,,,1987,LSU,10,1,1,0.6153846154,6,0.25,15,15,2,0,19,0,,30,3,39,69.7,68.4,,,,,,,,,,,,,,,,,1
1987,New Orleans,7,brigham young,1,4,0,0,0.8666666667,9,0.2692307692,2,2,0,0,0,0,,37,154,30,81.5,69.6,,,,,,,,,,,,,,,,,1987,BYU,10,0,0,0.65625,6,0.4285714286,4,26,0,0,10,0,,44,76,32,82.6,77.2,,,,,,,,,,,,,,,,,1
1987,UTEP,7,arizona,1,7,1,1,0.78125,9,0.36,26,26,0,0,17,0,,39,104,32,78.1,69.7,,,,,,,,,,,,,,,,,1987,Arizona,10,1,1,0.6,7,0.4444444444,4,14,0,0,17,0,,23,40,30,74.6,67.7,,,,,,,,,,,,,,,,,1
1987,West Virginia,7,western kentucky,0,-2,1,0,0.7419354839,8,0.3913043478,9,15,0,0,15,0,,42,109,31,68.7,60.7,,,,,,,,,,,,,,,,,1987,W Kentucky,10,1,0,0.7631578947,8,0.3793103448,1,17,0,0,3,0,,28,106,38,78.5,68.1,,,,,,,,,,,,,,,,,1
1987,Auburn,8,san diego,1,1,1,1,0.5806451613,5,0.2777777778,9,11,0,0,9,0,,20,9,31,79.9,75,,,,,,,,,,,,,,,,,1987,San Diego,9,0,0,0.8,9,0.375,3,16,0,0,1,0,,52,142,30,70,61.4,,,,,,,,,,,,,,,,,1
1987,Georgia,8,kansas st,0,-3,0,1,0.6,6,0.2777777778,19,21,1,0,22,0,,11,37,30,82.1,72,,,,,,,,,,,,,,,,,1987,Kansas St,9,0,0,0.6451612903,5,0.35,1,5,0,0,1,0,,40,34,31,77.4,73.9,,,,,,,,,,,,,,,,,1
1987,Kentucky,8,ohio st,0,-14,1,1,0.6206896552,6,0.2777777778,2,18,0,0,22,0,,34,2,29,67.8,67,,,,,,,,,,,,,,,,,1987,Ohio St,9,0,1,0.6060606061,6,0.3,1,9,0,0,8,0,,18,16,33,84.4,78.2,,,,,,,,,,,,,,,,,1
1987,Navy,8,michigan,0,-15,1,1,0.8125,10,0.3846153846,1,1,0,0,0,1,,49,166,32,76.6,66.4,,,,,,,,,,,,,,,,,1987,Michigan,9,1,1,0.625,5,0.15,7,7,0,0,12,0,,17,11,32,87,80.7,,,,,,,,,,,,,,,,,1
1988,Arizona,1,cornell,1,40,1,1,0.9210526316,10,0.2571428571,5,15,0,0,17,1,,2,27,38,84.8,64.3,,,,,,,,,,,,,,,,,1988,Cornell,16,0,0,0.6296296296,8,0.4117647059,2,2,0,0,0,1,,185,217,27,75.1,75.8,,,,,,,,,,,,,,,,,1
1988,Oklahoma,1,chattanooga,1,28,1,1,0.8974358974,9,0.2,8,14,0,0,12,1,,1,35,39,102.9,81,,,,,,,,,,,,,,,,,1988,Chattanooga,16,0,0,0.6060606061,6,0.35,3,3,0,0,0,1,,152,212,33,74.5,71.6,,,,,,,,,,,,,,,,,1
1988,Purdue,1,fairleigh dickinson,1,15,1,1,0.8787878788,9,0.4137931034,8,10,0,0,7,1,,6,22,33,84.6,71.6,,,,,,,,,,,,,,,,,1988,FDU-Teaneck,16,0,0,0.7666666667,8,0.3913043478,5,5,0,0,1,1,,172,273,30,76.1,69.8,,,,,,,,,,,,,,,,,1
1988,Temple,1,lehigh,1,14,1,1,0.9411764706,10,0.4375,6,16,0,0,5,1,,11,89,34,76.8,61.2,,,,,,,,,,,,,,,,,1988,Lehigh,16,0,0,0.6774193548,7,0.380952381,3,3,0,0,0,1,,150,236,31,79.9,75.3,,,,,,,,,,,,,,,,,1
1988,Duke,2,boston,1,16,1,1,0.8,7,0.2857142857,8,13,1,0,12,1,,3,29,35,83.8,68.8,,,,,,,,,,,,,,,,,1988,Boston U,15,0,0,0.7419354839,8,0.4347826087,3,3,0,0,1,1,,128,245,31,77.5,70.1,,,,,,,,,,,,,,,,,1
1988,Kentucky,2,southern,1,15,1,1,0.8181818182,8,0.2592592593,3,19,0,0,23,1,,10,21,33,79.9,68.9,,,,,,,,,,,,,,,,,1988,Southern,15,1,0,0.7741935484,8,0.4583333333,2,17,0,0,3,1,,120,248,31,93.1,84.3,,,,,,,,,,,,,,,,,1
1988,Pittsburgh,2,eastern michigan,1,18,1,0,0.7741935484,7,0.4583333333,2,15,0,0,0,0,,16,31,31,79.8,71,,,,,,,,,,,,,,,,,1988,E Michigan,15,0,0,0.7333333333,9,0.3181818182,3,11,0,0,0,1,,111,172,30,80,76.6,,,,,,,,,,,,,,,,,1
1988,UNC,2,north texas,1,18,1,1,0.7941176471,7,0.3333333333,27,27,2,1,61,0,,9,3,34,82,73.2,,,,,,,,,,,,,,,,,1988,N Texas,15,0,0,0.5666666667,10,0.4705882353,2,2,0,0,0,1,,116,161,30,76.1,73.3,,,,,,,,,,,,,,,,,1
1988,Illinois,3,texas san antonio,1,9,1,1,0.696969697,8,0.2608695652,13,26,0,0,26,0,,8,7,33,82.6,70.8,,,,,,,,,,,,,,,,,1988,Texas-San Antonio,14,0,0,0.7096774194,9,0.4090909091,2,2,0,0,0,1,,91,151,31,78.5,74,,,,,,,,,,,,,,,,,1
1988,Michigan,3,boise st,1,5,1,1,0.7647058824,6,0.2692307692,8,8,0,0,13,0,,5,20,34,86.7,73.4,,,,,,,,,,,,,,,,,1988,Boise St,14,0,0,0.8,8,0.4166666667,5,15,0,0,7,1,,37,147,30,69.1,56.7,,,,,,,,,,,,,,,,,1
1988,NC State,3,murray st,0,-3,1,1,0.75,8,0.2916666667,8,17,1,1,17,0,,14,48,32,82.9,72.1,,,,,,,,,,,,,,,,,1988,Murray St,14,0,0,0.7096774194,10,0.3636363636,3,3,0,0,0,1,,85,153,31,74.6,69,,,,,,,,,,,,,,,,,1
1988,Syracuse,3,unc a and t,1,14,1,1,0.7428571429,7,0.3076923077,12,12,1,0,15,1,,4,26,35,84.7,70.5,,,,,,,,,,,,,,,,,1988,North Carolina A&T,14,1,1,0.8965517241,10,0.4230769231,9,17,0,0,2,1,,103,281,29,82.5,68.4,,,,,,,,,,,,,,,,,1
1988,BYU,4,charlotte,1,6,1,0,0.8125,6,0.3461538462,5,27,0,0,11,1,,28,50,32,85.5,76.2,,,,,,,,,,,,,,,,,1988,Charlotte,13,0,0,0.7096774194,8,0.4090909091,3,3,0,0,1,1,,86,126,31,79.2,75.9,,,,,,,,,,,,,,,,,1
1988,Indiana,4,richmond,0,-3,1,1,0.6551724138,7,0.1578947368,17,23,1,2,29,0,,13,10,29,78.8,70.9,,,,,,,,,,,,,,,,,1988,Richmond,13,0,1,0.7878787879,8,0.2692307692,7,7,0,0,6,1,,88,138,33,69.4,65.3,,,,,,,,,,,,,,,,,1
1988,Kansas St,4,la salle,1,13,1,0,0.7352941176,8,0.32,2,6,0,0,2,0,,18,6,34,75,68.7,,,,,,,,,,,,,,,,,1988,La Salle,13,0,0,0.7058823529,10,0.375,2,2,0,0,0,1,,30,155,34,86.1,71.3,,,,,,,,,,,,,,,,,1
1988,UNLV,4,missouri st,1,4,1,1,0.8235294118,7,0.5,15,20,1,0,43,0,,15,64,34,81.3,69.7,,,,,,,,,,,,,,,,,1988,SW Missouri St,13,1,0,0.7586206897,9,0.3181818182,5,5,0,0,1,1,,67,136,29,71.1,63.9,,,,,,,,,,,,,,,,,1
1988,DePaul,5,wicchita st,1,21,1,1,0.7333333333,8,0.4545454545,4,4,0,0,6,1,,34,87,30,78.9,70.1,,,,,,,,,,,,,,,,,1988,Wichita St,12,1,0,0.6666666667,9,0.25,2,2,0,0,1,0,,66,101,30,75.3,69.8,,,,,,,,,,,,,,,,,1
